"Ward Code","Ward Name","Local Authority","Age","Population"
"E05000657","Halliwell","Bolton","7","198"
"E05000657","Halliwell","Bolton","8","210"
"E05000657","Halliwell","Bolton","9","207"
"E05000657","Halliwell","Bolton","10","176"
"E05000657","Halliwell","Bolton","11","163"
"E05000658","Harper Green","Bolton","5","272"
"E05000658","Harper Green","Bolton","6","238"
"E05000658","Harper Green","Bolton","7","274"
"E05000658","Harper Green","Bolton","8","236"
"E05000658","Harper Green","Bolton","9","257"
"E05000658","Harper Green","Bolton","10","213"
"E05000658","Harper Green","Bolton","11","218"
"E05000659","Heaton and Lostock","Bolton","5","164"
"E05000659","Heaton and Lostock","Bolton","6","154"
"E05000659","Heaton and Lostock","Bolton","7","159"
"E05000659","Heaton and Lostock","Bolton","8","160"
"E05000659","Heaton and Lostock","Bolton","9","163"
"E05000659","Heaton and Lostock","Bolton","10","163"
"E05000659","Heaton and Lostock","Bolton","11","159"
"E05000660","Horwich and Blackrod","Bolton","5","158"
"E05000660","Horwich and Blackrod","Bolton","6","157"
"E05000660","Horwich and Blackrod","Bolton","7","158"
"E05000660","Horwich and Blackrod","Bolton","8","169"
"E05000660","Horwich and Blackrod","Bolton","9","138"
"E05000660","Horwich and Blackrod","Bolton","10","139"
"E05000660","Horwich and Blackrod","Bolton","11","144"
"E05000661","Horwich North East","Bolton","5","144"
"E05000661","Horwich North East","Bolton","6","121"
"E05000661","Horwich North East","Bolton","7","126"
"E05000661","Horwich North East","Bolton","8","127"
"E05000661","Horwich North East","Bolton","9","123"
"E05000661","Horwich North East","Bolton","10","117"
"E05000661","Horwich North East","Bolton","11","134"
"E05000662","Hulton","Bolton","5","201"
"E05000662","Hulton","Bolton","6","195"
"E05000662","Hulton","Bolton","7","187"
"E05000662","Hulton","Bolton","8","195"
"E05000662","Hulton","Bolton","9","180"
"E05000662","Hulton","Bolton","10","166"
"E05000662","Hulton","Bolton","11","185"
"E05000663","Kearsley","Bolton","5","190"
"E05000663","Kearsley","Bolton","6","184"
"E05000663","Kearsley","Bolton","7","175"
"E05000663","Kearsley","Bolton","8","187"
"E05000663","Kearsley","Bolton","9","172"
"E05000663","Kearsley","Bolton","10","169"
"E05000663","Kearsley","Bolton","11","178"
"E05000664","Little Lever and Darcy Lever","Bolton","5","165"
"E05000664","Little Lever and Darcy Lever","Bolton","6","157"
"E05000664","Little Lever and Darcy Lever","Bolton","7","179"
"E05000664","Little Lever and Darcy Lever","Bolton","8","159"
"E05000664","Little Lever and Darcy Lever","Bolton","9","163"
"E05000664","Little Lever and Darcy Lever","Bolton","10","144"
"E05000664","Little Lever and Darcy Lever","Bolton","11","136"
"E05000665","Rumworth","Bolton","5","307"
"E05000665","Rumworth","Bolton","6","279"
"E05000665","Rumworth","Bolton","7","269"
"E05000665","Rumworth","Bolton","8","268"
"E05000665","Rumworth","Bolton","9","267"
"E05000665","Rumworth","Bolton","10","238"
"E05000665","Rumworth","Bolton","11","246"
"E05000666","Smithills","Bolton","5","200"
"E05000666","Smithills","Bolton","6","203"
"E05000666","Smithills","Bolton","7","177"
"E05000666","Smithills","Bolton","8","178"
"E05000666","Smithills","Bolton","9","210"
"E05000666","Smithills","Bolton","10","180"
"E05000666","Smithills","Bolton","11","183"
"E05000667","Tonge with the Haulgh","Bolton","5","188"
"E05000667","Tonge with the Haulgh","Bolton","6","193"
"E05000667","Tonge with the Haulgh","Bolton","7","153"
"E05000667","Tonge with the Haulgh","Bolton","8","170"
"E05000667","Tonge with the Haulgh","Bolton","9","150"
"E05000667","Tonge with the Haulgh","Bolton","10","154"
"E05000667","Tonge with the Haulgh","Bolton","11","145"
"E05000668","Westhoughton North and Chew Moor","Bolton","5","174"
"E05000668","Westhoughton North and Chew Moor","Bolton","6","176"
"E05000668","Westhoughton North and Chew Moor","Bolton","7","154"
"E05000668","Westhoughton North and Chew Moor","Bolton","8","157"
"E05000668","Westhoughton North and Chew Moor","Bolton","9","172"
"E05000668","Westhoughton North and Chew Moor","Bolton","10","155"
"E05000668","Westhoughton North and Chew Moor","Bolton","11","160"
"E05000669","Westhoughton South","Bolton","5","155"
"E05000669","Westhoughton South","Bolton","6","160"
"E05000669","Westhoughton South","Bolton","7","156"
"E05000669","Westhoughton South","Bolton","8","175"
"E05000669","Westhoughton South","Bolton","9","163"
"E05000669","Westhoughton South","Bolton","10","168"
"E05000669","Westhoughton South","Bolton","11","149"
"E05000670","Besses","Bury","5","155"
"E05000670","Besses","Bury","6","150"
"E05000670","Besses","Bury","7","143"
"E05000670","Besses","Bury","8","157"
"E05000670","Besses","Bury","9","156"
"E05000670","Besses","Bury","10","140"
"E05000670","Besses","Bury","11","159"
"E05000671","Church","Bury","5","105"
"E05000671","Church","Bury","6","111"
"E05000671","Church","Bury","7","112"
"E05000671","Church","Bury","8","126"
"E05000671","Church","Bury","9","112"
"E05000671","Church","Bury","10","101"
"E05000671","Church","Bury","11","103"
"E05000672","East","Bury","5","184"
"E05000672","East","Bury","6","171"
"E05000672","East","Bury","7","158"
"E05000672","East","Bury","8","157"
"E05000672","East","Bury","9","148"
"E05000672","East","Bury","10","144"
"E05000672","East","Bury","11","145"
"E05000673","Elton","Bury","5","152"
"E05000673","Elton","Bury","6","162"
"E05000673","Elton","Bury","7","175"
"E05000673","Elton","Bury","8","136"
"E05000673","Elton","Bury","9","146"
"E05000673","Elton","Bury","10","122"
"E05000673","Elton","Bury","11","125"
"E05000674","Holyrood","Bury","5","152"
"E05000674","Holyrood","Bury","6","128"
"E05000674","Holyrood","Bury","7","145"
"E05000674","Holyrood","Bury","8","136"
"E05000674","Holyrood","Bury","9","137"
"E05000674","Holyrood","Bury","10","148"
"E05000674","Holyrood","Bury","11","120"
"E05000675","Moorside","Bury","5","153"
"E05000675","Moorside","Bury","6","169"
"E05000675","Moorside","Bury","7","176"
"E05000675","Moorside","Bury","8","163"
"E05000675","Moorside","Bury","9","172"
"E05000675","Moorside","Bury","10","141"
"E05000675","Moorside","Bury","11","128"
"E05000676","North Manor","Bury","5","91"
"E05000676","North Manor","Bury","6","106"
"E05000676","North Manor","Bury","7","131"
"E05000676","North Manor","Bury","8","84"
"E05000676","North Manor","Bury","9","111"
"E05000676","North Manor","Bury","10","106"
"E05000676","North Manor","Bury","11","103"
"E05000677","Pilkington Park","Bury","5","115"
"E05000677","Pilkington Park","Bury","6","81"
"E05000677","Pilkington Park","Bury","7","116"
"E05000677","Pilkington Park","Bury","8","107"
"E05000677","Pilkington Park","Bury","9","100"
"E05000677","Pilkington Park","Bury","10","113"
"E05000677","Pilkington Park","Bury","11","88"
"E05000678","Radcliffe East","Bury","5","145"
"E05000678","Radcliffe East","Bury","6","135"
"E05000678","Radcliffe East","Bury","7","160"
"E05000678","Radcliffe East","Bury","8","147"
"E05000678","Radcliffe East","Bury","9","126"
"E05000678","Radcliffe East","Bury","10","137"
"E05000678","Radcliffe East","Bury","11","112"
"E05000679","Radcliffe North","Bury","5","113"
"E05000679","Radcliffe North","Bury","6","121"
"E05000679","Radcliffe North","Bury","7","137"
"E05000679","Radcliffe North","Bury","8","124"
"E05000679","Radcliffe North","Bury","9","135"
"E05000679","Radcliffe North","Bury","10","143"
"E05000679","Radcliffe North","Bury","11","139"
"E05000680","Radcliffe West","Bury","5","188"
"E05000680","Radcliffe West","Bury","6","170"
"E05000680","Radcliffe West","Bury","7","188"
"E05000680","Radcliffe West","Bury","8","164"
"E05000680","Radcliffe West","Bury","9","157"
"E05000680","Radcliffe West","Bury","10","147"
"E05000680","Radcliffe West","Bury","11","154"
"E05000681","Ramsbottom","Bury","5","145"
"E05000681","Ramsbottom","Bury","6","136"
"E05000681","Ramsbottom","Bury","7","145"
"E05000681","Ramsbottom","Bury","8","137"
"E05000681","Ramsbottom","Bury","9","133"
"E05000681","Ramsbottom","Bury","10","142"
"E05000681","Ramsbottom","Bury","11","175"
"E05000682","Redvales","Bury","5","174"
"E05000682","Redvales","Bury","6","187"
"E05000682","Redvales","Bury","7","179"
"E05000682","Redvales","Bury","8","164"
"E05000682","Redvales","Bury","9","175"
"E05000682","Redvales","Bury","10","150"
"E05000682","Redvales","Bury","11","134"
"E05000683","St Mary's","Bury","5","125"
"E05000683","St Mary's","Bury","6","129"
"E05000683","St Mary's","Bury","7","111"
"E05000683","St Mary's","Bury","8","104"
"E05000683","St Mary's","Bury","9","100"
"E05000683","St Mary's","Bury","10","99"
"E05000683","St Mary's","Bury","11","101"
"E05000684","Sedgley","Bury","5","309"
"E05000684","Sedgley","Bury","6","278"
"E05000684","Sedgley","Bury","7","300"
"E05000684","Sedgley","Bury","8","263"
"E05000684","Sedgley","Bury","9","272"
"E05000684","Sedgley","Bury","10","258"
"E05000684","Sedgley","Bury","11","230"
"E05000685","Tottington","Bury","5","107"
"E05000685","Tottington","Bury","6","109"
"E05000685","Tottington","Bury","7","103"
"E05000685","Tottington","Bury","8","106"
"E05000685","Tottington","Bury","9","103"
"E05000685","Tottington","Bury","10","116"
"E05000685","Tottington","Bury","11","127"
"E05000686","Unsworth","Bury","5","96"
"E05000686","Unsworth","Bury","6","113"
"E05000686","Unsworth","Bury","7","118"
"E05000686","Unsworth","Bury","8","107"
"E05000686","Unsworth","Bury","9","110"
"E05000686","Unsworth","Bury","10","98"
"E05000686","Unsworth","Bury","11","112"
"E05000687","Ancoats and Clayton","Manchester","5","194"
"E05000687","Ancoats and Clayton","Manchester","6","215"
"E05000687","Ancoats and Clayton","Manchester","7","187"
"E05000687","Ancoats and Clayton","Manchester","8","190"
"E05000687","Ancoats and Clayton","Manchester","9","183"
"E05000687","Ancoats and Clayton","Manchester","10","154"
"E05000687","Ancoats and Clayton","Manchester","11","139"
"E05000688","Ardwick","Manchester","5","243"
"E05000688","Ardwick","Manchester","6","244"
"E05000688","Ardwick","Manchester","7","246"
"E05000688","Ardwick","Manchester","8","256"
"E05000688","Ardwick","Manchester","9","228"
"E05000688","Ardwick","Manchester","10","207"
"E05000688","Ardwick","Manchester","11","216"
"E05000689","Baguley","Manchester","5","235"
"E05000689","Baguley","Manchester","6","232"
"E05000689","Baguley","Manchester","7","228"
"E05000689","Baguley","Manchester","8","233"
"E05000689","Baguley","Manchester","9","206"
"E05000689","Baguley","Manchester","10","184"
"E05000689","Baguley","Manchester","11","166"
"E05000690","Bradford","Manchester","5","265"
"E05000690","Bradford","Manchester","6","267"
"E05000690","Bradford","Manchester","7","274"
"E05000690","Bradford","Manchester","8","273"
"E05000690","Bradford","Manchester","9","236"
"E05000690","Bradford","Manchester","10","239"
"E05000690","Bradford","Manchester","11","200"
"E05000691","Brooklands","Manchester","5","205"
"E05000691","Brooklands","Manchester","6","206"
"E05000691","Brooklands","Manchester","7","190"
"E05000691","Brooklands","Manchester","8","179"
"E05000691","Brooklands","Manchester","9","170"
"E05000691","Brooklands","Manchester","10","151"
"E05000691","Brooklands","Manchester","11","122"
"E05000692","Burnage","Manchester","5","278"
"E05000692","Burnage","Manchester","6","239"
"E05000692","Burnage","Manchester","7","223"
"E05000692","Burnage","Manchester","8","264"
"E05000692","Burnage","Manchester","9","245"
"E05000692","Burnage","Manchester","10","228"
"E05000692","Burnage","Manchester","11","228"
"E05000693","Charlestown","Manchester","5","249"
"E05000693","Charlestown","Manchester","6","232"
"E05000693","Charlestown","Manchester","7","209"
"E05000693","Charlestown","Manchester","8","203"
"E05000693","Charlestown","Manchester","9","230"
"E05000693","Charlestown","Manchester","10","220"
"E05000693","Charlestown","Manchester","11","183"
"E05000694","Cheetham","Manchester","5","410"
"E05000694","Cheetham","Manchester","6","397"
"E05000694","Cheetham","Manchester","7","399"
"E05000694","Cheetham","Manchester","8","386"
"E05000694","Cheetham","Manchester","9","387"
"E05000694","Cheetham","Manchester","10","363"
"E05000694","Cheetham","Manchester","11","325"
"E05000695","Chorlton","Manchester","5","173"
"E05000695","Chorlton","Manchester","6","134"
"E05000695","Chorlton","Manchester","7","164"
"E05000695","Chorlton","Manchester","8","148"
"E05000695","Chorlton","Manchester","9","134"
"E05000695","Chorlton","Manchester","10","117"
"E05000695","Chorlton","Manchester","11","109"
"E05000696","Chorlton Park","Manchester","5","182"
"E05000696","Chorlton Park","Manchester","6","169"
"E05000696","Chorlton Park","Manchester","7","178"
"E05000696","Chorlton Park","Manchester","8","176"
"E05000696","Chorlton Park","Manchester","9","190"
"E05000696","Chorlton Park","Manchester","10","152"
"E05000696","Chorlton Park","Manchester","11","153"
"E05000697","City Centre","Manchester","5","28"
"E05000697","City Centre","Manchester","6","30"
"E05000697","City Centre","Manchester","7","17"
"E05000697","City Centre","Manchester","8","8"
"E05000697","City Centre","Manchester","9","9"
"E05000697","City Centre","Manchester","10","18"
"E05000697","City Centre","Manchester","11","25"
"E05000698","Crumpsall","Manchester","5","297"
"E05000698","Crumpsall","Manchester","6","300"
"E05000698","Crumpsall","Manchester","7","283"
"E05000698","Crumpsall","Manchester","8","293"
"E05000698","Crumpsall","Manchester","9","247"
"E05000698","Crumpsall","Manchester","10","239"
"E05000698","Crumpsall","Manchester","11","216"
"E05000699","Didsbury East","Manchester","5","175"
"E05000699","Didsbury East","Manchester","6","143"
"E05000699","Didsbury East","Manchester","7","150"
"E05000699","Didsbury East","Manchester","8","152"
"E05000699","Didsbury East","Manchester","9","149"
"E05000699","Didsbury East","Manchester","10","143"
"E05000699","Didsbury East","Manchester","11","143"
"E05000700","Didsbury West","Manchester","5","107"
"E05000700","Didsbury West","Manchester","6","104"
"E05000700","Didsbury West","Manchester","7","110"
"E05000700","Didsbury West","Manchester","8","98"
"E05000700","Didsbury West","Manchester","9","109"
"E05000700","Didsbury West","Manchester","10","76"
"E05000700","Didsbury West","Manchester","11","80"
"E05000701","Fallowfield","Manchester","5","182"
"E05000701","Fallowfield","Manchester","6","168"
"E05000701","Fallowfield","Manchester","7","179"
"E05000701","Fallowfield","Manchester","8","167"
"E05000701","Fallowfield","Manchester","9","182"
"E05000701","Fallowfield","Manchester","10","134"
"E05000701","Fallowfield","Manchester","11","156"
"E05000702","Gorton North","Manchester","5","331"
"E05000702","Gorton North","Manchester","6","308"
"E05000702","Gorton North","Manchester","7","298"
"E05000702","Gorton North","Manchester","8","284"
"E05000702","Gorton North","Manchester","9","262"
"E05000702","Gorton North","Manchester","10","227"
"E05000702","Gorton North","Manchester","11","258"
"E05000703","Gorton South","Manchester","5","401"
"E05000703","Gorton South","Manchester","6","399"
"E05000703","Gorton South","Manchester","7","402"
"E05000703","Gorton South","Manchester","8","362"
"E05000703","Gorton South","Manchester","9","386"
"E05000703","Gorton South","Manchester","10","329"
"E05000703","Gorton South","Manchester","11","317"
"E05000704","Harpurhey","Manchester","5","346"
"E05000704","Harpurhey","Manchester","6","324"
"E05000704","Harpurhey","Manchester","7","321"
"E05000704","Harpurhey","Manchester","8","318"
"E05000704","Harpurhey","Manchester","9","279"
"E05000704","Harpurhey","Manchester","10","272"
"E05000704","Harpurhey","Manchester","11","257"
"E05000705","Higher Blackley","Manchester","5","236"
"E05000705","Higher Blackley","Manchester","6","214"
"E05000705","Higher Blackley","Manchester","7","232"
"E05000705","Higher Blackley","Manchester","8","209"
"E05000705","Higher Blackley","Manchester","9","185"
"E05000705","Higher Blackley","Manchester","10","200"
"E05000705","Higher Blackley","Manchester","11","183"
"E05000706","Hulme","Manchester","5","164"
"E05000706","Hulme","Manchester","6","141"
"E05000706","Hulme","Manchester","7","117"
"E05000706","Hulme","Manchester","8","116"
"E05000706","Hulme","Manchester","9","112"
"E05000706","Hulme","Manchester","10","103"
"E05000706","Hulme","Manchester","11","90"
"E05000707","Levenshulme","Manchester","5","188"
"E05000707","Levenshulme","Manchester","6","184"
"E05000707","Levenshulme","Manchester","7","194"
"E05000707","Levenshulme","Manchester","8","176"
"E05000707","Levenshulme","Manchester","9","202"
"E05000707","Levenshulme","Manchester","10","160"
"E05000707","Levenshulme","Manchester","11","156"
"E05000708","Longsight","Manchester","5","264"
"E05000708","Longsight","Manchester","6","265"
"E05000708","Longsight","Manchester","7","270"
"E05000708","Longsight","Manchester","8","254"
"E05000708","Longsight","Manchester","9","260"
"E05000708","Longsight","Manchester","10","207"
"E05000708","Longsight","Manchester","11","212"
"E05000709","Miles Platting and Newton Heath","Manchester","5","264"
"E05000709","Miles Platting and Newton Heath","Manchester","6","270"
