"LAEstab","Schoolname","Netcapacity..1.","Postcode","Easting","Northing","Local.Authority.Code","Local.Authority.Name","Ward.Code","Ward.Name"
3502083,"Eatock Primary School",240,"BL5 2ER",365233,404810,"E08000001","Bolton","E05000669","Westhoughton South"
3502084,"Queensbridge Primary School",210,"BL4 7BL",373235,405684,"E08000001","Bolton","E05000655","Farnworth"
3502085,"The Gates Primary School",315,"BL5 3QA",365587,406970,"E08000001","Bolton","E05000668","Westhoughton North and Chew Moor"
3502086,"St Catherine's CofE Primary School",210,"BL6 5SJ",363490,411204,"E08000001","Bolton","E05000660","Horwich and Blackrod"
3503000,"St Mary's CofE Primary School, Deane",420,"BL3 4QP",369010,407820,"E08000001","Bolton","E05000659","Heaton and Lostock"
3503007,"St Matthew's CofE Primary School, Bolton",420,"BL1 2JL",371442,410171,"E08000001","Bolton","E05000657","Halliwell"
3503009,"St Paul's CofE Primary School, Astley Bridge",210,"BL1 8QA",371562,411510,"E08000001","Bolton","E05000650","Astley Bridge"
3503016,"St James CofE Primary School, Farnworth",315,"BL4 9QB",373008,405278,"E08000001","Bolton","E05000655","Farnworth"
3503021,"St James CofE Primary School, Daisy Hill",420,"BL5 2JU",365581,404375,"E08000001","Bolton","E05000669","Westhoughton South"
3503023,"Blackrod Anglican/Methodist Primary School",210,"BL6 5DE",361178,410878,"E08000001","Bolton","E05000660","Horwich and Blackrod"
3503025,"Ss Simon & Jude CofE Primary School, Bolton",420,"BL3 2DT",372064,407233,"E08000001","Bolton","E05000656","Great Lever"
3503302,"St Michael's CofE Primary School, Great Lever",420,"BL3 2PL",372997,407204,"E08000001","Bolton","E05000656","Great Lever"
3503304,"Bishop Bridgeman CofE Primary School",420,"BL3 6PY",371525,407733,"E08000001","Bolton","E05000656","Great Lever"
3503306,"St Stephen and All Martyrs' CofE School, Lever Bridge",210,"BL2 1NZ",372955,408665,"E08000001","Bolton","E05000667","Tonge with the Haulgh"
3503314,"St Thomas CofE Primary School, Halliwell",280,"BL1 3JB",370730,410657,"E08000001","Bolton","E05000654","Crompton"
3503315,"Holy Infant and St Anthony RC Primary School",210,"BL1 6QJ",371236,411853,"E08000001","Bolton","E05000650","Astley Bridge"
3503316,"St Columba's RC Primary School",210,"BL2 3AR",372863,411586,"E08000001","Bolton","E05000654","Crompton"
3503317,"St Thomas of Canterbury RC School",420,"BL1 5LH",369410,409928,"E08000001","Bolton","E05000659","Heaton and Lostock"
3503319,"St Ethelbert's RC Primary School",210,"BL3 5RL",369947,408071,"E08000001","Bolton","E05000665","Rumworth"
3503320,"St Joseph's RC Primary School, Halliwell, Bolton",210,"BL1 3EJ",370429,410512,"E08000001","Bolton","E05000654","Crompton"
3503328,"St Peter and St Paul RC Primary School",210,"BL3 6HP",371322,408397,"E08000001","Bolton","E05000656","Great Lever"
3503331,"St William of York RC Primary School",210,"BL3 3DE",371425,407196,"E08000001","Bolton","E05000656","Great Lever"
3503335,"St Peter's Smithills Dean CofE Primary School",210,"BL1 6LA",369484,411695,"E08000001","Bolton","E05000666","Smithills"
3503336,"Bolton Parish Church CofE Primary School",210,"BL2 2AN",372613,409417,"E08000001","Bolton","E05000654","Crompton"
3503337,"St Bernard's RC Primary School, Bolton",210,"BL3 4RX",368264,408273,"E08000001","Bolton","E05000659","Heaton and Lostock"
3503340,"St Maxentius CofE Primary School",210,"BL2 4AE",373791,412416,"E08000001","Bolton","E05000651","Bradshaw"
3503341,"Walmsley CofE Primary School",315,"BL7 9SA",371156,414361,"E08000001","Bolton","E05000653","Bromley Cross"
3503344,"Horwich Parish CofE Primary School",392,"BL6 6AA",364325,411508,"E08000001","Bolton","E05000661","Horwich North East"
3503345,"St Thomas CofE Primary School",210,"BL5 3HP",366616,406143,"E08000001","Bolton","E05000668","Westhoughton North and Chew Moor"
3503348,"St Andrew's CofE Primary School, Over Hulton",210,"BL5 1EN",369102,405662,"E08000001","Bolton","E05000662","Hulton"
3503349,"St Bartholomew's CofE Primary School",210,"BL5 3NZ",365160,405920,"E08000001","Bolton","E05000669","Westhoughton South"
3503351,"All Saints CofE Primary School",210,"BL4 7PY",373783,406565,"E08000001","Bolton","E05000655","Farnworth"
3503352,"St Peter's CofE Primary School",420,"BL4 9JT",373872,405250,"E08000001","Bolton","E05000663","Kearsley"
3503354,"St Stephen's CofE Primary School",210,"BL4 8PB",375395,404665,"E08000001","Bolton","E05000663","Kearsley"
3503355,"St John CofE Primary School, Kearsley",210,"BL4 8AP",374363,405756,"E08000001","Bolton","E05000663","Kearsley"
3503356,"St Matthew's CofE Primary School, Little Lever",210,"BL3 1BQ",375232,407292,"E08000001","Bolton","E05000664","Little Lever and Darcy Lever"
3503359,"Sacred Heart RC Primary School",420,"BL5 3DU",365523,406320,"E08000001","Bolton","E05000668","Westhoughton North and Chew Moor"
3503360,"St Gregory's RC Primary School, Farnworth, Bolton",210,"BL4 8AJ",374187,405750,"E08000001","Bolton","E05000655","Farnworth"
3503362,"Our Lady of Lourdes RC Primary School",210,"BL4 0BP",372396,405844,"E08000001","Bolton","E05000655","Farnworth"
3503363,"St Brendan's RC Primary School, Harwood, Bolton",210,"BL2 4DZ",374505,411915,"E08000001","Bolton","E05000651","Bradshaw"
3503364,"St Teresa's RC Primary School",140,"BL3 1EN",375026,407254,"E08000001","Bolton","E05000664","Little Lever and Darcy Lever"
3503365,"St Saviour CofE Primary School, Ringley",210,"M26 1EU",376512,405075,"E08000001","Bolton","E05000663","Kearsley"
3503366,"St John the Evangelist RC Primary School, Bromley Cross, Bolton",210,"BL7 9HT",371956,413516,"E08000001","Bolton","E05000653","Bromley Cross"
3503367,"St Mary's RC Primary School",210,"BL6 6EP",364684,410606,"E08000001","Bolton","E05000661","Horwich North East"
3503368,"St Bede Academy",480,"BL3 3LJ",370187,407035,"E08000001","Bolton","E05000662","Hulton"
3503369,"St George's CofE Primary School",315,"BL5 2FB",364640,405071,"E08000001","Bolton","E05000669","Westhoughton South"
3503370,"The Valley Community Primary School",420,"BL1 8JG",371690,410631,"E08000001","Bolton","E05000654","Crompton"
3503371,"St Osmund and Andrew's RC Primary School",350,"BL2 6NW",374702,408808,"E08000001","Bolton","E05000652","Breightmet"
3503373,"Leverhulme Community Primary School",420,"BL2 6EE",374275,409248,"E08000001","Bolton","E05000652","Breightmet"
3512006,"Fairfield Community Primary School",236,"BL9 7SD",382709,411524,"E08000002","Bury","E05000672","East"
3512009,"Sunny Bank Primary School",210,"BL9 8EQ",381099,407326,"E08000002","Bury","E05000686","Unsworth"
3512012,"Greenhill Primary School",245,"BL8 2JH",377982,410216,"E08000002","Bury","E05000671","Church"
3512013,"Chantlers Primary School",245,"BL8 2SF",378517,410718,"E08000002","Bury","E05000671","Church"
3512014,"Woodbank Primary School",269,"BL8 1AX",379576,411789,"E08000002","Bury","E05000673","Elton"
3512015,"Chesham Primary School",307,"BL9 6PH",381005,412536,"E08000002","Bury","E05000675","Moorside"
3512019,"Old Hall Primary School",209,"BL8 4LU",379017,413340,"E08000002","Bury","E05000673","Elton"
3512020,"Lowercroft Primary School",239,"BL8 2TS",377689,410546,"E08000002","Bury","E05000671","Church"
3512025,"Hazlehurst Community Primary School",210,"BL0 9PQ",378384,415873,"E08000002","Bury","E05000681","Ramsbottom"
3512027,"Butterstile Primary School",350,"M25 9RJ",381023,402710,"E08000002","Bury","E05000683","St Mary's"
3512029,"Mersey Drive Community Primary School",180,"M45 8LN",381881,406571,"E08000002","Bury","E05000670","Besses"
3512030,"Ribble Drive Community Primary School",210,"M45 8TD",381323,406103,"E08000002","Bury","E05000670","Besses"
3512032,"Greenmount Primary School",235,"BL8 4HD",377604,414691,"E08000002","Bury","E05000676","North Manor"
3512033,"Higher Lane Primary School",462,"M45 7EX",380671,405539,"E08000002","Bury","E05000677","Pilkington Park"
3512035,"Tottington Primary School",315,"BL8 3HR",377589,412453,"E08000002","Bury","E05000685","Tottington"
3512036,"Cams Lane Primary School",200,"M26 3SW",377497,407295,"E08000002","Bury","E05000680","Radcliffe West"
3512037,"Heaton Park Primary School",385,"M45 6TE",381614,404800,"E08000002","Bury","E05000674","Holyrood"
3512038,"Park View Primary School",403,"M25 1FA",381815,403364,"E08000002","Bury","E05000684","Sedgley"
3512039,"Sedgley Park Community Primary School",229,"M25 0HT",382475,402715,"E08000002","Bury","E05000684","Sedgley"
3512041,"Whitefield Community Primary School",165,"M45 6DP",381180,405630,"E08000002","Bury","E05000670","Besses"
3512042,"Holcombe Brook Primary School",268,"BL0 9TA",378230,414692,"E08000002","Bury","E05000676","North Manor"
3512044,"Gorsefield Primary School",420,"M26 4DW",378218,407614,"E08000002","Bury","E05000678","Radcliffe East"
3512045,"Chapelfield Primary School",251,"M26 1LH",379087,406290,"E08000002","Bury","E05000680","Radcliffe West"
3512046,"Hollins Grundy Primary School",210,"BL9 8AT",381409,408071,"E08000002","Bury","E05000686","Unsworth"
3512047,"East Ward Community Primary School",350,"BL9 7QZ",381818,410872,"E08000002","Bury","E05000672","East"
3512048,"Springside Primary School",245,"BL9 5JB",380460,413492,"E08000002","Bury","E05000676","North Manor"
3512050,"Unsworth Primary School",210,"BL9 8LY",381449,406736,"E08000002","Bury","E05000686","Unsworth"
3513006,"St Peter's Church of England Primary School",210,"BL9 9PW",380115,409062,"E08000002","Bury","E05000682","Redvales"
3513009,"St Thomas Church of England Primary School",275,"BL9 7EY",381467,410600,"E08000002","Bury","E05000672","East"
3513015,"St Margaret's Church of England Primary School",245,"M25 2BW",382521,405504,"E08000002","Bury","E05000674","Holyrood"
3513016,"Christ Church Ainsworth Church of England Primary School",245,"BL2 5SQ",376241,410300,"E08000002","Bury","E05000679","Radcliffe North"
3513017,"All Saints Church of England Primary School, Stand",199,"M45 8PL",380817,406678,"E08000002","Bury","E05000686","Unsworth"
3513018,"St Andrew's Church of England Primary School, Ramsbottom",245,"BL0 9JD",378905,416429,"E08000002","Bury","E05000681","Ramsbottom"
3513019,"Summerseat Methodist Primary School",105,"BL9 5NF",379696,414816,"E08000002","Bury","E05000676","North Manor"
3513022,"Wesley Methodist Primary School",280,"M26 4PX",377641,408281,"E08000002","Bury","E05000679","Radcliffe North"
3513028,"Radcliffe Hall Church of England/Methodist Controlled Primary School",390,"M26 2GB",379606,407670,"E08000002","Bury","E05000678","Radcliffe East"
3513302,"Holy Trinity Primary School",210,"BL9 0SB",380790,410438,"E08000002","Bury","E05000672","East"
3513303,"St Paul's Church of England Primary School, Bury",207,"BL9 6LJ",381576,411605,"E08000002","Bury","E05000675","Moorside"
3513320,"Guardian Angels Roman Catholic Primary School, Bury",210,"BL8 2RH",378955,411252,"E08000002","Bury","E05000673","Elton"
3513324,"St Marie's Roman Catholic Primary School, Bury",210,"BL9 0RZ",380727,410395,"E08000002","Bury","E05000672","East"
3513326,"St Joseph and St Bede Catholic Primary School",382,"BL9 6ER",381583,411957,"E08000002","Bury","E05000675","Moorside"
3513328,"Our Lady of Lourdes Roman Catholic Primary School, Bury",140,"BL8 1YA",379257,413020,"E08000002","Bury","E05000673","Elton"
3513330,"Emmanuel Holcombe Church of England Primary School",112,"BL8 4PA",378280,416710,"E08000002","Bury","E05000681","Ramsbottom"
3513332,"St Mary's Church of England Primary School, Hawkshaw",105,"BL8 4JL",375963,414990,"E08000002","Bury","E05000676","North Manor"
3513333,"Christ Church CofE (Aided) Primary School",205,"BL8 3AX",377723,411869,"E08000002","Bury","E05000685","Tottington"
3513334,"St Mary's Church of England Aided Primary School, Prestwich",210,"M25 1BP",381400,404075,"E08000002","Bury","E05000683","St Mary's"
3513335,"St Joseph's Roman Catholic Primary School, Ramsbottom",191,"BL0 9JJ",378753,416498,"E08000002","Bury","E05000681","Ramsbottom"
3513336,"Holly Mount Roman Catholic Primary School, Bury",300,"BL8 4HS",376974,414232,"E08000002","Bury","E05000685","Tottington"
3513337,"Our Lady of Grace RC Primary School",315,"M25 3AS",381082,404691,"E08000002","Bury","E05000683","St Mary's"
3513341,"St Bernadette's Roman Catholic Primary School, Whitefield",255,"M45 8PT",380736,406892,"E08000002","Bury","E05000686","Unsworth"
3513343,"St Michael's Roman Catholic Primary School, Whitefield",210,"M45 8NJ",381175,406078,"E08000002","Bury","E05000670","Besses"
3513344,"St John's Church of England Primary School, Radcliffe",188,"M26 1AW",378590,406508,"E08000002","Bury","E05000680","Radcliffe West"
3513346,"St Andrew's Church of England Primary School, Radcliffe",210,"M26 4GE",377632,408559,"E08000002","Bury","E05000679","Radcliffe North"
3513348,"St Hilda's Church of England Primary School",138,"M25 1HA",382323,403684,"E08000002","Bury","E05000684","Sedgley"
3513349,"Bury and Whitefield Jewish Primary School",210,"BL9 8JT",381870,407034,"E08000002","Bury","E05000686","Unsworth"
3513350,"St Mary's Roman Catholic Primary School, Radcliffe",419,"M26 4DG",378113,407827,"E08000002","Bury","E05000678","Radcliffe East"
3513351,"St Stephen's Church of England Primary School",245,"BL8 2DX",378559,410099,"E08000002","Bury","E05000671","Church"
3513352,"St John with St Mark CofE Primary School",270,"BL9 5EE",380586,411911,"E08000002","Bury","E05000675","Moorside"
3513353,"St Luke's CofE Primary School",389,"BL9 9JQ",380724,409758,"E08000002","Bury","E05000682","Redvales"
3515200,"Peel Brow School",238,"BL0 0BJ",379658,416869,"E08000002","Bury","E05000681","Ramsbottom"
3515201,"Yesoiday Hatorah School",440,"M25 0JW",382026,402691,"E08000002","Bury","E05000684","Sedgley"
3522001,"Abbott Community Primary School",205,"M40 7PR",385042,399358,"E08000003","Manchester","E05000709","Miles Platting and Newton Heath"
3522002,"Wilbraham Primary School",630,"M14 7FB",384332,394479,"E08000003","Manchester","E05000701","Fallowfield"
3522004,"Chorlton Park Primary School",630,"M21 7HH",382138,392977,"E08000003","Manchester","E05000696","Chorlton Park"
3522005,"E-ACT Blackley Academy",420,"M9 0RD",385905,404111,"E08000003","Manchester","E05000705","Higher Blackley"
3522006,"Alma Park Primary School",420,"M19 2PF",387323,393873,"E08000003","Manchester","E05000707","Levenshulme"
3522007,"St Barnabas CofE Primary Academy",210,"M11 2JX",388346,397576,"E08000003","Manchester","E05000690","Bradford"
3522008,"Ringway Primary School",285,"M22 0WW",382745,385969,"E08000003","Manchester","E05000718","Woodhouse Park"
3522009,"The Willows Primary School",423,"M22 1BQ",382418,386494,"E08000003","Manchester","E05000718","Woodhouse Park"
3522010,"Ashbury Meadow Primary School",420,"M11 3NA",386400,398015,"E08000003","Manchester","E05000690","Bradford"
3522012,"Gorton Mount Primary Academy",590,"M18 7GR",388054,395127,"E08000003","Manchester","E05000703","Gorton South"
3522013,"Rolls Crescent Primary School",420,"M15 5FT",383278,396465,"E08000003","Manchester","E05000706","Hulme"
3522014,"Oasis Academy Aspinal",210,"M18 7NY",389420,395326,"E08000003","Manchester","E05000703","Gorton South"
3522015,"Stanley Grove Primary Academy",570,"M12 4NL",387041,395630,"E08000003","Manchester","E05000708","Longsight"
3522016,"Oasis Academy Harpur Mount",420,"M9 5XR",385643,401696,"E08000003","Manchester","E05000704","Harpurhey"
3522017,"Beaver Road Primary School",623,"M20 6SX",384884,391231,"E08000003","Manchester","E05000699","Didsbury East"
3522018,"Seymour Road Primary School",420,"M11 4PR",388764,398541,"E08000003","Manchester","E05000687","Ancoats and Clayton"
3522019,"Haveley Hey Community School",432,"M22 9NS",382536,387634,"E08000003","Manchester","E05000715","Sharston"
3522039,"Bowker Vale Primary School",420,"M8 4NB",383863,403914,"E08000003","Manchester","E05000705","Higher Blackley"
3522040,"Briscoe Lane Academy",380,"M40 2TB",387880,400130,"E08000003","Manchester","E05000709","Miles Platting and Newton Heath"
3522048,"Acacias Community Primary School",420,"M19 2WW",386866,393331,"E08000003","Manchester","E05000707","Levenshulme"
3522057,"Cavendish Primary School",510,"M20 1JG",384049,392456,"E08000003","Manchester","E05000696","Chorlton Park"
3522058,"Chapel Street Primary School",630,"M19 3GH",387757,394087,"E08000003","Manchester","E05000703","Gorton South"
3522060,"Charlestown Community Primary School",315,"M9 7BX",387490,403058,"E08000003","Manchester","E05000693","Charlestown"
3522068,"Claremont Primary School",555,"M14 7NA",384500,395178,"E08000003","Manchester","E05000710","Moss Side"
3522073,"Crossacres Primary Academyl",420,"M22 5AD",383782,387788,"E08000003","Manchester","E05000715","Sharston"
3522075,"Crosslee Community Primary School",330,"M9 6TG",387076,403661,"E08000003","Manchester","E05000693","Charlestown"
3522076,"Crowcroft Park Primary School",210,"M12 5SY",387492,395042,"E08000003","Manchester","E05000703","Gorton South"
3522079,"Brookburn Community School",420,"M21 8EH",381318,393258,"E08000003","Manchester","E05000695","Chorlton"
3522113,"Green End Primary School",420,"M19 1DR",386651,392528,"E08000003","Manchester","E05000692","Burnage"
3522129,"Heald Place Primary School",630,"M14 7PN",384820,394928,"E08000003","Manchester","E05000710","Moss Side"
3522141,"Ladybarn Primary School",420,"M20 4SR",385923,392657,"E08000003","Manchester","E05000717","Withington"
3522142,"Lily Lane Primary School",480,"M40 9JP",387039,401594,"E08000003","Manchester","E05000704","Harpurhey"
3522161,"Mauldeth Road Primary School",360,"M14 6SG",386147,392990,"E08000003","Manchester","E05000717","Withington"
3522164,"Moston Fields Primary School",315,"M40 9GN",387437,402155,"E08000003","Manchester","E05000711","Moston"
3522165,"Moston Lane Community Primary School",420,"M9 4HH",386668,401888,"E08000003","Manchester","E05000704","Harpurhey"
3522182,"Newall Green Primary School",630,"M23 2YH",381513,387841,"E08000003","Manchester","E05000689","Baguley"
3522184,"New Moston Primary School",519,"M40 3QJ",389124,402638,"E08000003","Manchester","E05000711","Moston"
3522186,"Northenden Community School",210,"M22 4FL",382833,390304,"E08000003","Manchester","E05000712","Northenden"
3522216,"Plymouth Grove Primary School",420,"M13 0AQ",386054,396118,"E08000003","Manchester","E05000688","Ardwick"
3522232,"Rack House Primary School",420,"M23 0BT",381575,390356,"E08000003","Manchester","E05000712","Northenden"
3522234,"Ravensbury Community School",420,"M11 4EG",387764,398966,"E08000003","Manchester","E05000687","Ancoats and Clayton"
3522247,"Broadhurst Primary School",210,"M40 0BX",388200,401270,"E08000003","Manchester","E05000711","Moston"
3522249,"Irk Valley Community School",450,"M8 5XH",385275,401810,"E08000003","Manchester","E05000698","Crumpsall"
3522278,"Varna Community Primary School",420,"M11 2LE",388846,397255,"E08000003","Manchester","E05000690","Bradford"
3522288,"Cheetwood Primary School",210,"M8 8EJ",383467,399915,"E08000003","Manchester","E05000694","Cheetham"
3522296,"Crab Lane Primary School",360,"M9 8NB",384777,403703,"E08000003","Manchester","E05000705","Higher Blackley"
3522298,"Broad Oak Primary School",630,"M20 5QB",384971,389547,"E08000003","Manchester","E05000699","Didsbury East"
3522300,"Peel Hall Primary School",210,"M22 5AU",383808,386976,"E08000003","Manchester","E05000715","Sharston"
3522301,"Sandilands Primary School",420,"M23 9JX",379564,389560,"E08000003","Manchester","E05000691","Brooklands"
3522302,"Pike Fold Primary School",420,"M9 8QP",385262,402910,"E08000003","Manchester","E05000698","Crumpsall"
3522303,"Higher Openshaw Community School",345,"M11 1AJ",388790,397856,"E08000003","Manchester","E05000690","Bradford"
3522305,"Manley Park Primary School",420,"M16 0AA",382302,394930,"E08000003","Manchester","E05000716","Whalley Range"
3522321,"All Saints Primary School",210,"M12 5PW",387445,396697,"E08000003","Manchester","E05000702","Gorton North"
3522323,"Webster Primary School",420,"M15 6JU",384390,395910,"E08000003","Manchester","E05000706","Hulme"
3522324,"Medlock Primary School",420,"M13 9UJ",385192,397029,"E08000003","Manchester","E05000688","Ardwick"
3522325,"Barlow Hall Primary School",315,"M21 7JG",382171,392388,"E08000003","Manchester","E05000696","Chorlton Park"
3522326,"Baguley Hall Primary School",525,"M23 1LB",381083,388628,"E08000003","Manchester","E05000689","Baguley"
3522327,"Crumpsall Lane Primary School",420,"M8 5SR",384253,402382,"E08000003","Manchester","E05000698","Crumpsall"
3522328,"Birchfields Primary School",630,"M14 6PL",386448,394311,"E08000003","Manchester","E05000714","Rusholme"
3522329,"Old Hall Drive Primary School",420,"M18 7FU",388767,395720,"E08000003","Manchester","E05000703","Gorton South"
3522330,"Oswald Road Primary School",630,"M21 9PL",381552,394314,"E08000003","Manchester","E05000695","Chorlton"
3522332,"Temple Primary School",630,"M8 8SA",384663,400780,"E08000003","Manchester","E05000694","Cheetham"
3522338,"Old Moat Community Primary School",420,"M20 3FN",384352,393116,"E08000003","Manchester","E05000713","Old Moat"
3522340,"Button Lane Primary School",420,"M23 0ND",380977,390638,"E08000003","Manchester","E05000691","Brooklands"
3522341,"Benchill Primary School",415,"M22 8EJ",382388,388569,"E08000003","Manchester","E05000712","Northenden"
3523003,"Chorlton CofE Primary School",210,"M21 9JA",381111,393588,"E08000003","Manchester","E05000695","Chorlton"
3523005,"Holy Trinity CofE Primary School",240,"M9 4DU",386268,401952,"E08000003","Manchester","E05000704","Harpurhey"
3523011,"St Augustine's CofE Primary School",210,"M40 8PL",386082,400324,"E08000003","Manchester","E05000704","Harpurhey"
3523015,"St Chrysostom's CofE Primary School",420,"M13 0DX",385459,396146,"E08000003","Manchester","E05000688","Ardwick"
3523022,"St Margaret's CofE Primary School",525,"M16 8FQ",382961,394764,"E08000003","Manchester","E05000716","Whalley Range"
3523028,"St Mary's CofE Junior and Infant School",420,"M16 7AQ",383182,395582,"E08000003","Manchester","E05000710","Moss Side"
3523034,"St Wilfrid's CofE Junior and Infant School",210,"M40 1GB",388620,400111,"E08000003","Manchester","E05000709","Miles Platting and Newton Heath"
3523039,"St Paul's CofE Primary School",315,"M20 4PG",385019,392908,"E08000003","Manchester","E05000717","Withington"
3523040,"Cheetham CofE Community Academy",510,"M8 9FR",383812,401250,"E08000003","Manchester","E05000694","Cheetham"
3523041,"St Agnes CofE Primary School",420,"M13 0PE",386750,395292,"E08000003","Manchester","E05000708","Longsight"
3523042,"St Clement's CofE Primary School",194,"M11 1LR",389494,397092,"E08000003","Manchester","E05000690","Bradford"
3523043,"Armitage CofE Primary School",420,"M12 5NP",386429,396815,"E08000003","Manchester","E05000688","Ardwick"
3523044,"St Luke's CofE Primary School",420,"M12 4NG",386141,396548,"E08000003","Manchester","E05000688","Ardwick"
3523045,"St John's CofE Primary School",315,"M13 0YE",386384,395748,"E08000003","Manchester","E05000708","Longsight"
3523301,"All Saints CofE Primary School",210,"M40 1LS",388361,400277,"E08000003","Manchester","E05000709","Miles Platting and Newton Heath"
3523305,"Didsbury CofE Primary School",207,"M20 6RL",384744,391037,"E08000003","Manchester","E05000699","Didsbury East"
3523310,"St Andrew's CofE Primary School",420,"M19 2UH",387958,393804,"E08000003","Manchester","E05000703","Gorton South"
