"LAEstab","Schoolname","Netcapacity..1.","Postcode","Easting","Northing","Local.Authority.Code","Local.Authority.Name","Ward.Code","Ward.Name"
3502000,"Brandwood Primary School",420,"BL3 4BG",370174,407787,"E08000001","Bolton","E05000665","Rumworth"
3502001,"The Ferns Primary Academy",360,"BL4 0DA",372817,405945,"E08000001","Bolton","E05000655","Farnworth"
3502004,"Brownlow Fold Primary School",210,"BL1 3DX",370944,410382,"E08000001","Bolton","E05000657","Halliwell"
3502005,"Castle Hill Primary School",210,"BL2 2JT",372791,410982,"E08000001","Bolton","E05000654","Crompton"
3502008,"Church Road Primary School",420,"BL1 5RU",369503,410678,"E08000001","Bolton","E05000666","Smithills"
3502013,"Devonshire Road Primary School",420,"BL1 4ND",369671,409578,"E08000001","Bolton","E05000666","Smithills"
3502014,"Gaskell Community Primary School",315,"BL1 2QG",371018,409701,"E08000001","Bolton","E05000657","Halliwell"
3502016,"High Lawn Primary School",420,"BL1 7EX",371385,412558,"E08000001","Bolton","E05000650","Astley Bridge"
3502017,"Johnson Fold Community Primary School",210,"BL1 5UG",368780,411083,"E08000001","Bolton","E05000666","Smithills"
3502018,"Lever Edge Primary Academy",420,"BL3 3HP",371068,406958,"E08000001","Bolton","E05000658","Harper Green"
3502019,"Markland Hill Primary School",315,"BL1 5EJ",368426,409974,"E08000001","Bolton","E05000659","Heaton and Lostock"
3502020,"Oxford Grove Primary School",420,"BL1 3EJ",370429,410512,"E08000001","Bolton","E05000654","Crompton"
3502022,"Pikes Lane Primary School",420,"BL3 5HU",370567,408687,"E08000001","Bolton","E05000665","Rumworth"
3502024,"Sharples Primary School",210,"BL1 8RX",372194,412201,"E08000001","Bolton","E05000650","Astley Bridge"
3502025,"Sunning Hill Primary School",420,"BL3 6TR",370717,407862,"E08000001","Bolton","E05000665","Rumworth"
3502028,"Tonge Moor Primary School",420,"BL2 2PF",372917,410092,"E08000001","Bolton","E05000667","Tonge with the Haulgh"
3502035,"Haslam Park Primary School",315,"BL3 5QL",369829,408221,"E08000001","Bolton","E05000665","Rumworth"
3502036,"Ladybridge Community Primary School",420,"BL3 4NB",368613,408244,"E08000001","Bolton","E05000659","Heaton and Lostock"
3502038,"Moorgate Primary School",240,"BL2 2RH",372977,409958,"E08000001","Bolton","E05000667","Tonge with the Haulgh"
3502039,"Heathfield Primary School",210,"BL3 3TP",369453,406802,"E08000001","Bolton","E05000662","Hulton"
3502040,"Beaumont Primary School",210,"BL3 4RX",368264,408273,"E08000001","Bolton","E05000659","Heaton and Lostock"
3502041,"Lostock Primary School",210,"BL6 4PS",367411,408810,"E08000001","Bolton","E05000659","Heaton and Lostock"
3502042,"Blackshaw Primary School",210,"BL2 6TE",375175,408697,"E08000001","Bolton","E05000652","Breightmet"
3502043,"The Oaks Primary School",210,"BL1 7HS",371894,412666,"E08000001","Bolton","E05000650","Astley Bridge"
3502050,"Eagley Infant School",180,"BL7 9LN",372381,413679,"E08000001","Bolton","E05000653","Bromley Cross"
3502051,"Chorley New Road Primary School",330,"BL6 6EW",364608,410494,"E08000001","Bolton","E05000660","Horwich and Blackrod"
3502053,"Lord Street Primary School",210,"BL6 7AL",363772,411875,"E08000001","Bolton","E05000661","Horwich North East"
3502056,"Highfield Primary School",420,"BL4 0AP",372214,405743,"E08000001","Bolton","E05000655","Farnworth"
3502060,"Prestolee Primary School",210,"M26 1HJ",375479,405821,"E08000001","Bolton","E05000663","Kearsley"
3502061,"Kearsley West Primary School",210,"BL4 9BZ",374421,405183,"E08000001","Bolton","E05000663","Kearsley"
3502062,"Cherry Tree Primary School",420,"BL4 0NS",371447,405623,"E08000001","Bolton","E05000658","Harper Green"
3502064,"Eagley Junior School",240,"BL7 9AT",372733,413436,"E08000001","Bolton","E05000653","Bromley Cross"
3502065,"Hardy Mill Primary School",315,"BL2 4EF",374812,411702,"E08000001","Bolton","E05000651","Bradshaw"
3502066,"Mytham Primary School",360,"BL3 1JG",375622,407034,"E08000001","Bolton","E05000664","Little Lever and Darcy Lever"
3502067,"Blackrod Primary School",210,"BL6 5SY",362264,409924,"E08000001","Bolton","E05000660","Horwich and Blackrod"
3502068,"Egerton Primary School",210,"BL7 9RE",370836,415345,"E08000001","Bolton","E05000653","Bromley Cross"
3502071,"Masefield Primary School",280,"BL3 1NG",375895,407606,"E08000001","Bolton","E05000664","Little Lever and Darcy Lever"
3502072,"Harwood Meadows Primary School",225,"BL2 3PS",374872,411174,"E08000001","Bolton","E05000651","Bradshaw"
3502073,"Claypool Primary School",210,"BL6 6LN",365575,410116,"E08000001","Bolton","E05000661","Horwich North East"
3502075,"Spindle Point Primary School",210,"BL4 8SE",375991,404204,"E08000001","Bolton","E05000663","Kearsley"
3502076,"Bowness Primary School",140,"BL3 1BT",374739,407336,"E08000001","Bolton","E05000664","Little Lever and Darcy Lever"
3502078,"Gilnow Primary School",210,"BL1 4LG",370273,408868,"E08000001","Bolton","E05000657","Halliwell"
3502079,"Washacre Primary School",140,"BL5 2NJ",365773,405368,"E08000001","Bolton","E05000668","Westhoughton North and Chew Moor"
3502081,"Red Lane Primary School",420,"BL2 5HP",374614,410130,"E08000001","Bolton","E05000652","Breightmet"
